epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9034722447395325,0.0010000000474974513,0.27990517020225525,0.7138888835906982,0.6751663088798523
1,0.9777777791023254,0.0010000000474974513,0.0755169540643692,0.8333333134651184,0.4797736704349518
2,0.9826388955116272,0.0010000000474974513,0.055749062448740005,0.9027777910232544,0.35272958874702454
3,0.987500011920929,0.0010000000474974513,0.03888896852731705,0.9416666626930237,0.19549396634101868
4,0.9847221970558167,0.0010000000474974513,0.04893174022436142,0.9277777671813965,0.1779252588748932
5,0.9909722208976746,0.0010000000474974513,0.028864629566669464,0.9750000238418579,0.08688735216856003
6,0.9868055582046509,0.0010000000474974513,0.03503711521625519,0.9722222089767456,0.09720729291439056
7,0.9923611283302307,0.0010000000474974513,0.025830082595348358,0.9611111283302307,0.0900338739156723
8,0.9923611283302307,0.0003000000142492354,0.02454124204814434,0.9694444537162781,0.0776178389787674
9,0.9951388835906982,0.0003000000142492354,0.017078649252653122,0.9750000238418579,0.05980644375085831
0,0.9923611283302307,9.999999747378752e-06,0.02707921899855137,0.9750000238418579,0.0576016902923584
1,0.9930555820465088,9.999999747378752e-06,0.026442933827638626,0.980555534362793,0.05647202208638191
2,0.9916666746139526,9.999999747378752e-06,0.026661032810807228,0.980555534362793,0.05545508489012718
3,0.9951388835906982,9.999999747378752e-06,0.014738177880644798,0.980555534362793,0.054568249732255936
4,0.9930555820465088,9.999999747378752e-06,0.014805551618337631,0.980555534362793,0.05403558537364006
5,0.9944444298744202,9.999999747378752e-06,0.015673406422138214,0.980555534362793,0.05354246124625206
6,0.9965277910232544,9.999999747378752e-06,0.012277829460799694,0.980555534362793,0.055102888494729996
7,0.9944444298744202,9.999999747378752e-06,0.011424754746258259,0.9833333492279053,0.0549146793782711
8,0.9965277910232544,2.9999998787388904e-06,0.011143731884658337,0.9833333492279053,0.05472568795084953
