epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8796178102493286,0.0010000000474974513,0.3835243582725525,0.7690476179122925,0.6783987879753113
1,0.9719745516777039,0.0010000000474974513,0.09986602514982224,0.8809523582458496,0.4354170262813568
2,0.9840764403343201,0.0010000000474974513,0.051471609622240067,0.9071428775787354,0.2860942482948303
3,0.981528639793396,0.0010000000474974513,0.052233025431632996,0.9571428298950195,0.1504182666540146
4,0.987261176109314,0.0010000000474974513,0.04618310183286667,0.9404761791229248,0.1778281331062317
5,0.987261176109314,0.0010000000474974513,0.031474679708480835,0.9571428298950195,0.11738802492618561
6,0.9917197227478027,0.0010000000474974513,0.03697216138243675,0.9714285731315613,0.06949272006750107
7,0.987261176109314,0.0010000000474974513,0.03417406976222992,0.9571428298950195,0.1167120411992073
8,0.9847133755683899,0.0010000000474974513,0.054094478487968445,0.9547619223594666,0.10443100333213806
9,0.9910827875137329,0.0003000000142492354,0.03406372666358948,0.961904764175415,0.1013522818684578
0,0.9866241812705994,9.999999747378752e-06,0.05546336621046066,0.9714285731315613,0.06508473306894302
1,0.9917197227478027,9.999999747378752e-06,0.025163592770695686,0.9690476059913635,0.0632508397102356
2,0.9904458522796631,9.999999747378752e-06,0.029512986540794373,0.9714285731315613,0.06237538531422615
3,0.9828025698661804,9.999999747378752e-06,0.046844929456710815,0.9714285731315613,0.06286847591400146
4,0.9942675232887268,9.999999747378752e-06,0.029808660969138145,0.9714285731315613,0.06268506497144699
5,0.9891719818115234,2.9999998787388904e-06,0.033402688801288605,0.973809540271759,0.06202862039208412
6,0.9917197227478027,2.9999998787388904e-06,0.022840334102511406,0.973809540271759,0.06142744421958923
7,0.9859872460365295,2.9999998787388904e-06,0.03743641451001167,0.9714285731315613,0.06182113289833069
8,0.9910827875137329,2.9999998787388904e-06,0.035151321440935135,0.973809540271759,0.06140347942709923
9,0.9885350465774536,9.999999974752427e-07,0.028097832575440407,0.9714285731315613,0.06303267925977707
